param_kernel,mean_test_score,rank_test_score,mean_train_score
linear,0.7668182422550194,3,0.7668693560567095
poly,0.7687558650395647,1,0.7694532033679151
rbf,0.7687558650395647,1,0.7687206026353144
sigmoid,0.6705818218791305,4,0.6630932953810513
