param_max_depth,mean_test_score,rank_test_score,mean_train_score
1,0.7668182422550194,7,0.7668693560567095
2,0.7668182422550194,7,0.7668693560567095
3,0.770529024968946,5,0.7832248472199089
4,0.7646720981608004,9,0.7871075741012392
5,0.7675280231394875,6,0.8076942021531999
6,0.7720726671202984,4,0.8366628707546603
7,0.7759016216270023,2,0.8533749420136862
8,0.7737571590989082,3,0.8692729369627763
9,0.7827816196645826,1,0.8816905364198899
