param_n_neighbors,mean_test_score,rank_test_score,mean_train_score
1,0.7334648723325135,10,0.8614097792618569
3,0.7378378508091782,9,0.8371208457366863
5,0.7582065119625832,6,0.8189816748576287
7,0.7561108930644819,7,0.8133023685878549
9,0.7659909863789588,3,0.8050944552152922
11,0.7509295754418821,8,0.7923842014914957
13,0.7591916075274436,4,0.7878209838368958
15,0.7709960061915762,1,0.7911870792609615
17,0.7701082281554607,2,0.7916275221295339
19,0.7590152919419209,5,0.7889171167386836
