param_max_depth,mean_test_score,rank_test_score,mean_train_score
1,0.7668182422550194,6,0.7668693560567095
2,0.7668182422550194,6,0.7668693560567095
3,0.7653740044808582,9,0.7818973214294365
4,0.7658944971903981,8,0.7918028336300205
5,0.7671507764000548,5,0.8083321749358945
6,0.7764338710789824,4,0.8351511135805652
7,0.7782813007713874,3,0.8556211544885622
8,0.7784738916417276,2,0.8668994271611368
9,0.7789016991283586,1,0.8817357552661329
